text,line_type
Minister (Mr Hawke) is an ex-President        was the concern by these companies to,both
of the ACTU-49 per cent of the work           provide quality products that meet world,both
"force were in trade unions. By 1990, 40       standards. More importantly, the work",both
per cent were unionised-a remarkable          force operating in these smaller compa-,both
decline of nearly 9.5 per cent.               nies was monitoring its own quality,both
standards-a far cry from only five to 10,both
The fundamental problems of main-           years ago. There was an awareness by,both
"taining membership are apparent, and          both the management and the work force",both
honourable members opposite have made         of the importance of export markets and,both
that clear and understand the problem.        the companies' need to maintain an ex-,both
We now have the proposition why any           port perspective so that the companies,both
individual would join a trade union of        can remain profitable.,both
"20,000 members or more. We have also",firstColumnOnly
heard that in the public sector 62 per cent     The other interesting thing amongst,both
of the work force is unionised. We have       these smaller operations was the concern,both
the situation where job promotion de-         of management and shop stewards for,both
pends upon members in the public sector       workers' conditions. There are problems,both
"having a union ticket. If one is a teacher    of work stations, repetition strain injury",both
4958 REPRESENTATIVES 21 December 1990                           Industrial Relations Bill,pageBreak
,lineBreak
and changing workers around the various       pening. There were 65 institutions doing,both
"tasks, and an awareness by both the unions    a good job, providing good educational",both
"and the management that everyone will         services to their students, but the Minister",both
"be better off if there is quality perform-    for Employment, Education and Training",both
ance and the workers are happy in the         (Mr Dawkins) said that we must have,both
job.                                          about 35 institutions. He wants to consol-,both
"idate, ceptralise and make them bigger,",both
In the Geelong era there was great con-    with no rational debate as to why there,both
cern; workers wished to keep their jobs.      would be any greater efficiencies in terms,both
In this recession which has been brought      of the delivery of educational s.ervices by,both
about by the policies of the present Gov-     having these 35 big institutions on the,both
"ernment, workers are very concerned-as        Australian education scene. This has been",both
"they now are at SPC Ltd and' other places     brought about, of course, by pressure on",both
around Australia-to keep their jobs and       capital and recurrent funding. The Gov-,both
"improve their performance, because they       ernment has said, 'Unless you amalga-",both
"know that it is pretty tough out there.       mate, associate and get bigger, we will cut",both
They know that they have to change their      back your funds'. It now has control of,both
"work performance, produce a quality ar-       the funding and the curriculum, so that",both
ticle and change their work practices to      in Canberra we again have these central-,both
"meet the challenges of the next decade.       ised, controlled arrangements which are",both
very much the thrust of the current Bill,both
Management has- certainly made a big       before the House.,both
change in its approach to a number of the,firstColumnOnly
problems in the work force. As one senior     There was a proposition by the Victo-,both
"manager said to me, jf management was         rian Government to amalgamate all local",both
"good, unions would not be needed on the       councils. After a very big fight, that prop-",both
shop floor because most of the problems       osition was turned over because local,both
could be sorted out by mutual discussion.     councils did not want to amalgamate; they,both
wanted to run their own shows. If they,both
We now have the classic example of the     see the advantages of making local amal-,both
"pre~ent Government's attitude towards         gamations and do so voluntarily, we on",both
"centralising power in Canberra or at some     this side are happy about that, just as we",both
central point. This legislation clearly cen-  are about trade unions making their own,both
"tralises trade union power, reducing 300      arrangements among themselves. We are",both
unions to 20 unions. There is coercive        completely opposed to this coercive prop-,both
pressure by legislation and by the Govern-    osition that is before the Parliament where,both
ment on the union movement-its                unions and union members are being,both
friends-to push it into so-called 20 mega-    forced to amalgamate under very strin-,both
"unions from the 300-odd smaller, group-       gent guidelines.  '",both
ings. That means that the .Government,firstColumnOnly
and some of these mega-unions can put           The main purpose of the Bill is to re-,both
"considerable pressure on big companies        duce the number of trade unions, as I",both
"and public sector utilities, as we have       have said, in the Australian workplace by",both
found in the various strikes around the       a process of amalgamation between,both
States. It would only take a phone call       unions. This wille be achieved by raising,both
from Mr Kelty to the Prime Minister of        the membership threshold for registration,both
"the day indicating the trade unions'posi-     of a trade union from 1,000 to 20,000.",both
"tion. It is much easier to organise indus-    That has at least been reduced to 10,000",both
trial disruption if one has only 20 mega-     due to the Senate amendments. I was,both
unions to confront government or the big-     pleased that the honourable member for,both
ger companies.                                Reid (Mr Ferguson) conceded the point,both
"that 10,000 was a more manageable num-",both
"We see a similar situation in the ter-     ber than 20,000, making the amalgama-",both
"tiary education sector. My colleague the      tion procedures less stringent, recognising",both
honourable member for Goldstein (Dr           and enhancing the role of peak councils,both
"Kemp), the shadow Minister for educa-         or federations of unions prior to amal-",both
"tion, is seeing this very same process hap-",firstColumnOnly
Industrial Relations Bill  21 December 1990 REPRESENTATIVES 4959,pageBreak
,lineBreak
"gamation, and reinforcing and extending              to reduce it to 10,000, as I have men-",both
the preferences which the Australian In-             tioned. Unions will still be required to,both
dustrial Relations Commission may ex-                reach this figure by 1 March 1993 or face,both
"tend to members of a trade union.                    deregistration-again, a very clear indi-",both
"                                                     cation, as members on this side have said,",secondColumnOnly
The Bill has its genesis in a paper pre-           that this is a coercive piece of legislation,both
"pared by the Secretary of the ACTU, Mr               which forces unions into a position that",both
"Bill Kelty, in May 1987 entitled Future              they might not desire.",both
Strategies for the Trade Union Movement,firstColumnOnly
"and adopted by the ACTU Congress in                    Even if one could sign up 10,000 to",both
"September 1987. The rationale for the                20,000 members it would still be impos-",both
"report was that the trade union move-                sible to obtain registration as a union,",both
ment was in decline and that steps had to            should there be a union to which mem-,both
be taken to reverse the process. According           bers could conveniently belong-that,both
"to the report, a reorganisation of and re-           wonderful phrase that is so often used by",both
duction in the number of unions from                 the arbitration commission and the union,both
approximately 325 to about 20 was there-             movement. This requirement has existed,both
fore necessary for the better servicing of           since March 1989. The effect of this sta-,both
members~ interests and would be-and I                tutory provision has been to keep new,both
quote:                                               entrants out of the market. The require-,both
                                                     ment that new entrants have to have,secondColumnOnly
". .. more conducive to the development and          10,000 to 20,000 members before apply-",both
maintenance of effective industrial relations proc-  ing for registration merely consolidates,both
esses.                                               existing barriers. We have the classic sit-,both
                                                     uation of a closed shop for unions creat-,secondColumnOnly
Those are interesting words. What they               ing new groups within the work force. As,both
"really mean is that we must maintain the             I mentioned earlier, that will be the death",both
power of trade union leaders in the ACTU             knell of the trade union movement in,both
before all the. grassroots membership                future years.,both
leaves the trade union movement alto-,firstColumnOnly
gether.                                                Unions which decline to amalgamate or,both
                                                     which fail to convince enough of their,secondColumnOnly
It should be realised that Mr Kelty's              members of the perceived benefits of,both
"rationale for the amalgamation proposal              amalgamation, so that the figure of 10,000",both
"has been challenged by several eminent               by 1 March 1993 is not reached, will have",both
"trade unionists, including two recent ad-            to convince the Commission that special",both
"visers to Mr Michael Easson, Secretary of            circumstances exist which necessitate their",both
the Labour Council of New South Wales.               continuation; they have to prove that they,both
"They claimed that size was no guarantee              will stay around as a trade union, even",both
"of organisational efficiency and that union          though they have been around for 20, 30,",both
"conglomerates controlled by left wing mil-           40 or 50 years, because they just have not",both
"itants would not be in the interests of              got enough numbers. The Commission, in",both
"members or the movement generally. That              such circumstances, would allow a tem-",both
is a very clear indication from inside the           porary exemption that would be reviewed,both
trade union movement on what it thinks               every three years. If the Commission is,both
about these mega-unions.                             not satisfied that special circumstances,both
"                                                     exist, then it must cancel the registration",secondColumnOnly
"Nevertheless, amalgamation remains                 of the union. Thus, any small union",both
ACTU policy. It is the coalition's belief            granted an exemption. would have to jus-,both
that the Bill is not designed to achieve             tify its right to exist every three years.,both
any fundamental reform of our industrial             What a wonderful democratic right that,both
"relations system; rather, it is to enhance           is for trade unions around Austnilia-to",both
the power of the ACTU and its affiliates.            have to go to the. Commission and dem-,both
The Bill in its original form provided for           onstrate why they should have the right,both
an overall minimum membership Qf a                   to exist!,both
"trade union of 20,000 members. The",firstColumnOnly
Government has since accepted the,firstColumnOnly
amendment by the Australian Democrats,firstColumnOnly
4960 REPRESENTATIVES 21 December 1990           Industrial Relations Bill,pageBreak
,lineBreak
Given the fact that the Government            number of unions represented in many,both
and the ACTU clearly believe that unions        Business Council member companies from,both
"with fewer than 20,000 or 10,000 mem-           12 to about 10. The potential benefits for",both
"bers may not be in the public interest, it      employers from amalgamation, that is, the",both
"is doubtful that many, if any, will survive     ease and clarity of negotiating with fewer",both
"for very much longer. In effect, the Bill       unions and the reduction of demarcation",both
"therefore actively prevents the formation       disputes, are hence totally illusory.",both
of new enterprise-based unions and reaf-,firstColumnOnly
"firms and cements the notion of craft             Indeed, it is quite clear that in its pres-",both
unions and industry awards. A number of         ent form the Bill will not achieve the,both
speakers on this side of the House have         stated objective of reducing demarcation,both
made a very strong point about this-            disputes. All it does is set the scene for,both
that the Bill runs counter to the current       the emergence of large craft-based con-,both
"thinking in industrial relations, even by       glomerate unions wielding excessive power",both
"the Commission, that we need enterprise-        and covering thousands of workers in a",both
"based unions, not mega:-unions, which this      wide range of different industries. It does",both
"Bill puts forward so clearly. Not only does     little, if anything, to increase the enter-",both
it fly in the face of the union movement's      prise focus of bargaining in the work place.,both
much vaunted commitment to meaning-,firstColumnOnly
"ful restructuring and greater flexibility, but    It should be noted at this point that the",both
it blatantly reinforces the notion of rela-     proposed amendments in section 18 will,both
tivities between awards and the central-        increase the influence of the ACTU on,both
ised nature of the present system. The          the Commission's deliberation of the de-,both
theory undoubtedly is to preserve the old       marcation disputes arising from union,both
"system of comparative wage justice under        claims of coverage of workers by, firstly,",both
the guise of reform.                            increasing the onus on the Commission,both
"                                                to consult with the ACTU and, secondly,",secondColumnOnly
The Bill provides us with a major op-         by obliging the Commission to consider,both
portunity to improve the institutional ar-      not only the agreements but the undertak-,both
rangements which have been for so long          ings as well. The practical effect of this is,both
at the epicentre of industrial relations in     that the proposed change will allow the,both
this country. If Australia is to become         ACTU to put a point of view as to the,both
more competitive in world markets and if        undertaking in camera with no opportu-,both
its products are to become the best in the      nity for other parties to challenge it.,both
"world, then we must be able to match the",firstColumnOnly
best work methods in the world. Most of           Both the Government and the ACTU,both
our competitors work with one bargaining        are well aware that amalgamation propos-,both
unit or union per workplace. The average        als contained in the Bill are based more,both
number of unions in Australian work-            on the need to secure the future of the,both
"places is five, rising to 11 or more in large   union movement as we approach the",both
"enterprises, completely killing the myth        twenty-first century than on- any real at-",both
that has been put- forward by speakers          tempt at constructive change to the way,both
opposite that these large unions will re-       we do things.,both
duce the number of unions in individual,firstColumnOnly
workplaces.                                       Declining membership and rank and file,both
                                                dissatisfaction with the overtly political,secondColumnOnly
Despite persistent- arguments of the          nature of the ACTU and its ruling' elite,both
"Business Council of Australia, detailed in      are symptomatic of the vigour with which",both
a comprehensive study 'Enterprise-Based         Mr Kelty has pursued the amalgamation,both
"Bargaining Units: A Better Way of Work-         agenda; Trade unionists themselves, Lau-",both
"ing', that the most pressing reform re-         rie Short and Joe Thompson in particular,",both
quired is the reduction of the number of        have argued strenuously that far from,both
"unions per work place, the amalgamation         bringing industrial harmony and stability",both
"proposals contained in this Bill fail to        to our industries, the creation of super",both
"address this problem. At best the amal-         unions will, with little doubt, worsen the",both
gamation proposals would reduce the             position and lead to bigger industrial dis-,both
                                                putes. Joe Thompson has given an exam-,secondColumnOnly
Industrial Relations Bill     21 December 1990 REPRESENTATIVES 4961,pageBreak
,lineBreak
"pIe of the possible amalgamation of the              provides for enterprise agreements, a more",both
Storemen and Packers Union and the                   flexible approach and a dramatic change,both
Transport Workers Union about which he               to the way in which we should run Aus-,both
said: .                    .                         tralia's future industrial relations arrange-,both
                                                     ments over the next decade under the new,secondColumnOnly
This super union would have an interest in al-       Hewson Government. We totally reject,both
"most every enterprise in the nation and could        the Bill, we totally reject the concepts and",both
"bring Australia to its knees, with little more than  we totally reject the domination of the",both
a telephone call.                                    ACTU which is instituted in the Bill by,both
                                                     way of legislation.,secondColumnOnly
"Laurie Short, former national secretary of",firstColumnOnly
the Federated Ironworkers Association of             Question put:,both
"Australia, has pointed out that bigger",firstColumnOnly
unions will simply mean more power in                That the Bill be now read a second time.,both
the hands of union bureaucrats. It cer-,firstColumnOnly
tainly does not imply more rational or               The House divided.,both
responsible union leadership nor an in-,firstColumnOnly
creased say for workers in their day-to-             (Mr Deputy Speaker-Mr Ronald,both
day activities.                                                          Edwards),both
,lineBreak
Let me say quite clearly that there is no          Ayes . . . .           72,both
"empirical evidence to suggest that fewer,            Noes . . . .           55",both
larger unions will make the trade union,firstColumnOnly
movement more efficient or responsible               Majority               17,both
to good industrial relations. We can all,firstColumnOnly
imagine what would have been the case                     AYES                   NOES,both
had the much celebrated Secretary of the,firstColumnOnly
"Builders Labourers Federation, Mr Norm               Baldwin, P. J.         Aldred, K. J.",both
"Gallagher, obtained control of a super               Beazley, K. C.         Anderson, J. D.",both
"union comprising 200,000 to 300,000                  Beddall, D. P.         Atkinson, R. A.",both
"members across the spectrum of the                   Bevis, A. R.           Bailey, F. E.",both
"building industry. Imagine what that                 Bilney, G. N.          Beale, J. H.",both
"would have meant!                                    Brereton, L. J.        Bradford, J. W.",both
"                                                     Brown, Robert          Braithwaite, R. A.",secondColumnOnly
"It should not be forgotten that the wage           Campbell, G.           Broadbent, R. E.",both
"break-out in 1981-82 did not burst forth             Catley, R.             Burr, M. A.",both
"from clear skies. It had its own, avoida-            Charlesworth, R. I.    Cadman, A. G.",both
"ble, origin 10 years earlier with the amal-          Courtice, B. W.        Carlton, J. J.",both
"gamation of the three communist                      Crawford, M. C.        Cobb, M. R.",both
"controlled metal trades unions-engi-                 Crean, S. F.           Connolly, D. M.",both
"neers, boilermakers, and sheet metal                 Crosio, J. A.          Costello, P. H.",both
"workers-into what we now know as the                 Darling, E. E.         Cowan, D. B.",both
"Amalgamated Metal Workers Union. It                  Dawkins, J. S.         Dobie, J. D. M.",both
"was the fatal mistake of the Government              Dubois, S. C.          Edwards, Harry",both
"and the metal trades employers who in                Duffy, M. J.           Fife, W. C.",both
"1971 failed to recognise the danger signals          Duncan, P.             Filing, P. A.",both
"of the proposed amalgamation which led               Elliott,R. P.          Fjscher, Tim",both
"to .the massive wage-hours escalation in             Fatin, W. F.           Fjsher, Peter",both
"1981-82, a mistake which did more to                 Ferguson, L. D. T.     Ford, F. A.",both
"weaken the Australian manufacturing in-              Fitzgibbon, E. J.      Gallus, C. A.",both
"dustry than any other single cause in re-            Free, R. V.            Goodluck, B. J.",both
"cent times.                                          Gayler, J.             Halverson, R. G. (Teller)",both
"                                                     Gear, G. (Teller)      Hawker, D. P. M.",secondColumnOnly
"In view of the time, I conclude on that            Gibson, G. D.          Hewson, J. R.",both
"and say that the Opposition is totally op-           Gorman, R. N. J.       Hicks, N. J. (Teller)",both
"posed to the Bill. We put some vigorous              Grace, E. L. (Teller)  Jull,D. F.",both
"points of view on this side. It stands fun-          Griffiths, A. G.       Kemp, D. A.",both
"damentally in contradiction to our well              Hand, G. L.            Lloyd, B.",both
"known industrial relations policy which              Holding, A. C.         McArthur, F. A.",both
"                                                     Hollis, C.             MacKellar, M. J. R.",secondColumnOnly
"                                                     Howe, B. L.            McLachlan, I. M.",secondColumnOnly
"                                                     Hulls, R. J.           Mack, E. C.",secondColumnOnly
"                                                     Humphreys, B. C.       Miles, C. G.",secondColumnOnly
"                                                     Jakobsen, C. A.        Nehl, G. B.",secondColumnOnly
"                                                     Jenkins, H. A.         Nugent, P. E.",secondColumnOnly
"                                                     Johns, G. T.           Peacock, A. S.",secondColumnOnly
"                                                     Jones, Barry           Reid, N. B.",secondColumnOnly
"                                                     Kelly, R. J.           Reith, P. K.",secondColumnOnly
"                                                     Kerin, J. C.           Rocher, A. C.",secondColumnOnly
"                                                     Kerr, D. J.            Ronaldson, M. J. C.",secondColumnOnly
"                                                     Langmore, J. V.        Ruddock, P. M.",secondColumnOnly
"                                                     Lavarch, M. H.         Shack, P. D.",secondColumnOnly
"                                                     Lee, M. J.             Sharp, J. R.",secondColumnOnly
"                                                     Lindsay, E. J.         Smith, W. L.",secondColumnOnly
"                                                     McHugh, J.             Somlyay, A. -M.",secondColumnOnly
"                                                     Martin, S. P.          Sullivan, K. J.",secondColumnOnly
"                                                     Melham, D.             Taylor, W. L.",secondColumnOnly
4962 REPRESENTATIVES 21 December 1990                                         Bills Returned from Senate,pageBreak
,lineBreak
AYES                                NOES                     BILLS RETURNED FROM THE,both
"Morris, Allan                       Truss, W. E.                                 SENATE",both
"Morris, Peter",firstColumnOnly
"Newell, N. J.                       WWielbssotne,r,r.AB. .Pc. .  The following Bills were returned from",both
"O'Keefe, N. P.                                                   the Senate without amendment or re-",both
"Price, L. R. S.                     Woods, Bob                   quests:",both
"Punch, G. F.                        Wooldridge, M. R. L.                                  ,            .",both
"Sawford, R. W.",firstColumnOnly
"Scholes, G. G. D.                   Howard, J. W.                European Bank for Reconstruction and Devel-",both
"Sciacca, C.                                                      opment Bill 1990",both
"Scott, John",firstColumnOnly
"Scott, Les                                                       International Development Association (Fur-",both
"Simmons, D. W.                                                   ther Payment) Bill 1990            ,",both
"Snow, J. H.",firstColumnOnly
"Snowdon, W. E.                                                   Sales Tax Laws Amendment (No.3) Bill 1990",both
"Staples, P. R.",firstColumnOnly
"Theophanous, A. C.                                               Bounty Legislation Amendment (No.2) Bill",both
"Tickner, R. E.                                                   1990                        ,",both
"Walker, F. J.",firstColumnOnly
"West, S. J.                                                      Stevedoring Industry Legislation Amendment",both
"Willis,R.                                                        Bill 1990         """,both
"Woods, Harry",firstColumnOnly
"Wright, K. W.                                                    St~vedoring Industry Levy Amendment Bill",both
                                                                 1990,secondColumnOnly
PAIRS,firstColumnOnly
                                                                 Transport and Communications Legislation,secondColumnOnly
"O'Neil, L. R. T.                                                 Amendment Bill 1990",both
,lineBreak
Question so resolved in' the affirmative.                        AUSSAT Amendment Bill 1990,both
Bill read a second time.,firstColumnOnly
                                                                 Commonwealth Funds Managem~nt Limited,secondColumnOnly
"                                                                 , Bill 1990                    ''",secondColumnOnly
,lineBreak
Third Reading                                     Defence Force (Home LOans Assistance) Bill,both
                                                                 1990,secondColumnOnly
Leave granted for third reading to be,firstColumnOnly
moved forthwith.                                                 Commonwealth and State Housing Agreement,both
                                                                 (Service Personnel) Bill 1990,secondColumnOnly
Bill (on motion by Mr Simmons) read,firstColumnOnly
a third time.                    .                               Housing Loans Insurance Corporation (Sale of,both
                                                                 Assets and Abolition) Bill 1990,secondColumnOnly
,lineBreak
SELECTION COMMITTEE                                       Australian Heritage Commission Amendment,both
Mr DEPUTY SPEAKER (Mr Ronald                                   Bill 1990.,both
Edwards)-I present the report of the Se-,firstColumnOnly
lection Committee relating to the pro-                           Australian Sports Drug Agency Bill 1990.,both
gram of business prior to 12.30 p.m. on,firstColumnOnly
"Thursday, 14 February 1991. The report                             Message received from the Senate ac-",both
will be printed in today's Hansard and                           quainting the House that the Senate has,both
the items accorded priority for debate will                      agreed to the following Bills as am~nded,both
be published in the Notice Paper for                             by the House at the request of the Senate:,both
"Tuesday, 12 February 1991.",firstColumnOnly
                                                                 Customs Tariff Amendment Bill 1990,secondColumnOnly
I also draw to the attention of honour-,firstColumnOnly
able members and the appropriate Whips                           Cattle Transaction Levy Bill 1990,both
that the Selection Committee has noted,firstColumnOnly
that on private members' Thursday mem-                           Beef Production Levy Bill 1990,both
bers have been taking more than the,firstColumnOnly
"agreed time and, as a consequence, other                         Cattle Export Charge Bill 1990",both
~olleagues have not been able to speak on,firstColumnOnly
Items before the House. I suggest that it                        Live-stock Slaughter Levy Amendment Bill 1990,both
would be in the interests of all members,firstColumnOnly
to ~ork to those times agreed by the                             Livestock Export Charge Amendment Bill 1990,both
WhIPS and do the right thing because it,firstColumnOnly
makes it very difficult for colleagues who                         THERAPEUTIC GOODS ACT 1989,both
miss their opportunity. But we will be                             Message received from the Senate ac-,both
"addressing that in the Selection Commit-                         quainting the House that, in accordance",both
tee in 1991.                                                     with section 2 of the Therapeutic Goods,both
"                                                                 Act 1989, the Senate approves the Ther-",secondColumnOnly
                                                                 apeutic Goods Regulations as contained,secondColumnOnly
                                                                 in Statutory Rules 1990 No. 394 made,secondColumnOnly
                                                                 under the Act and tabled in the Senate,secondColumnOnly
                                                                 on 11 December 1990.,secondColumnOnly
                                                                   Motion (by Mr Beazley) agreed to:,secondColumnOnly
Special Adjournment  21 DecembeI; 1990 REPRESENTATIVES 4963,pageBreak
,lineBreak
That consideration of the message be made an  the Clerk Assi~tants and our relatively new,both
"order of the day for the next sitting.          Serjeant-at-Arms have, as usual, ensured",both
                                                that the business of this place has been,secondColumnOnly
SPECIAL ADJOURNMENT                      completed smoothly and professionally,both
Mr HAWKE (Wills-Prime Minister)               and that the intricacies of parliamentary,both
(2.28)-1 move:                                  procedure do not but momentarily delay,both
                                                even the least polished of our parliamen-,secondColumnOnly
"That the House, at its rising, adjourn until  tary performers. The Joiht House Depart-",both
"Tuesday, 12 February 1991, at 2 p.m., unless    ment, the attendants, the transport",both
"otherwise called together by Mr Speaker or, in  office-the latter being much in demand",both
"the event of Mr Speaker being unavailable; by   today, 1 should think-all do a truly re-",both
"the Chairman of Committees.                     markable job, and we thank them for it.",both
,lineBreak
"Of course, we trust that that will not be          Mr Speaker, in the true spirit of Christ-",both
"the case, Mr Speaker. We have had a very        mas, at a time of the year when we should",both
eventful year. An election has been won         forgive those who have so cruelly wronged,both
"and lost and, because of this, the Parlia-      us, 1 also make mention of the stirling",both
ment did hot meet until May. This nec-          work of the Hansard staff and the tele-,both
essarily shortened autumn sitting was           phone technicians. They labour under im-,both
"followed, 1 point out-to those who feel         mense strains, 1 know. They do excellent",both
"that we have not been here long enough,         work with a consistency which makes an",both
by a quite normal Budget sitting period.        error all the more surprising. All 1 can,both
"Next autumn sitting pattern will also meet      say; Mr Speaker, is why me? Why is it",both
the norm. With all the Christmas spirit it      my phone? Why is it my words of eloqu-,both
"is possible to muster in these hardened         ence, so carefully chosen, so effectively",both
"economic times, 1 put on the record that        delivered, that are the exceptions which",both
this Government has not at any time at-         prove the rule? 1 particularly mention Mrs,both
"tempted to reduce for political ends the        Jocelyn Green, senior editor with Hansard,",both
"number of sitting days available to this        who, 1 am informed, is retiring in Febru-",both
"House. 1 hope that, again with the genu-        ary after 18 years service. 1 say to her and",both
"ine spirit of the season, the Opposition        to all in Hansard: thank you for a year's",both
will recognise that it can do none of us        work well done.,both
any good in the long run to perpetuate,firstColumnOnly
"the myth that the sitting program has been        Honourable members- Hear, hear!",both
manipulated.                                      Mr HAWKE-I also want to make,both
"                                                mention ofthe switchboard operators, who",secondColumnOnly
Mr Carlton-What rubbish!                      have such a thankless job handling the,both
Mr SPEAKER-Order! The honour-                 truly phenomenal number of calls which,both
"able member for Mackellar might actually        this place attracts. Marlene, the supervi-",both
"catch the early plane.                          sor, Beryl, .who has recently retired,",both
"Mr HAWKE- People are cynical about            Barbara, Dalroy, Pam, Margaret and",both
"parliantentarians-and with good cause in        Tracy do a great job. Merry Christmas,",both
"some ihstances. We do not need to add           ladies, and thank you very much. .",both
"unjustly to that burden. 1 am glad to say         Honourable members-Hear, hear!",both
"that all of us will be back here next             Mr HAWKE-To the Whip, George",both
"February, keen as always to serve the na-       Gear, and his Deputy, Ted Grace, go my",both
tion. 1 am probably more glad that there        thanks for the task of keeping up the,both
are no retirements or impending absences        numbers. 1 know their life is made easier,both
on this side of the House than 1 am about       by the able support provided by Catherine,both
the lack of them on the other. But 1 cer-       Mundy. The Parliamentary Liaison Offi-,both
"tainly hope that my friends on both sides       cer, Clare Nairn, and her helpers, also do",both
of the House and everywhere have both a         a tremendous job and deserve their,both
safe and a happy Christmas.                     Christmas break. We thank them very,both
1 would also like to extend the season's      sincerely indeed. On the other side of the,both
"greetings to all those who help make the        House, 1 am told that Rita Phillips, who",both
Parliament such an effective working en-,firstColumnOnly
"vironment. The Clerk, the Deputy Clerk,",firstColumnOnly
4964 REPRESENTATIVES 21 December 1990         Special Adjournment,pageBreak
,lineBreak
has serviced the coalition parties loyally    for their sustenance to you through what,both
"since 1964, has just retired. I did not       has been a difficult year.  '",both
"know Rita, but such service is indeed rare.",firstColumnOnly
It deserves mention and sincere thanks at       Dr HEWSON (Wentworth-Leader of,both
"this time, and they are so extended.          the Opposition) (2.36)-1 am delighted to",both
join the Prime Minister (Mr Hawke) in,both
I would also like to mention at this        extending my best wishes for the Christ-,both
"time my hard-working ~nd popular Leader       mas season and for a holiday break, which",both
"of the House, Kim Beazley. He has so          many of us undoubtedly really need. The",both
many favourable characteristics. He is a      Prime Minister said it was a busy year,both
"model of sartorial elegance. Kim and his      and an unusual year, and that it was. I",both
"able Opposition counterpart could do, I       have lasting memories of television im-",both
"am sure, with the rest that Christmas         ages of the faces of a couple of people on",both
"brings. Their task-yours on this side,        election eve-the honourable member for",both
"Kim, and yours on that side, Wale-is          Stirling (Mr Ronald Edwards), who did",both
"truly an onerous one. I appreciate, as I      not expect to be here, and the present",both
"think all members do, the nature of the       Leader of the House (Mr Beazley), who",both
relationship between you. It is an honour-    apparently also did not expect to be here.,both
"able one of integrity and it helps the func-  As it was, ,you managed to get a handful",both
tioning of this place. I thank you both       of votes more than we did and come back,both
"very much indeed.                             in government. In saying that, I would",both
like to record the recognition of our side,both
"Mr Speaker, may I wish you, too, a          of the House for the fantastic job that",both
merry Christmas. The speakership and the      Andrew Peacock did as Leader of the co-,both
positions of responsibility occupied by       alition. More Australians voted for,both
"you, your deputies and the committee          Andrew Peacock as Prime Minister than",both
"chairmen require that political judgment      voted for you, Sir, and I think that is a",both
"be put aside in favour of a, responsibility   very important point to go down in the",both
"to this Parliament. I believe-and I think     history of this place. Congratulations, An-",both
"I speak for all members of this Rouse, Mr     drew, on a fantastic job.",both
"Speaker, in respect of you and your col-",firstColumnOnly
"leagues-that this very difficult and deli-      I also note with some interest, and in-",both
"cate duty is done well and deserves our       deed delight, the comments you, Prime",both
"recognition. I hope that you will take from   Minister, made about parliamentary",both
"me, 'to yourself personally and to your       standards. It was an issue that I did raise",both
"colleagues, our sincere thanks for a job      as the subject of my first address in this",both
very well done.                               Parliament as Leader. It is an issue we,both
", Indeed, Mr Speaker, all member~ of this    firmly believe in, and we have taken some",both
"place and their families endure a great       steps, tentative though they be, towards",both
burden which public office demands of         raising the standards of Parliament. To,both
"them. We chose to be here and to accept       my mind, one of the clearest mes~ages of",both
"those burdens but, for the families of        the last election was that there was some-",both
"members, in so many cases I think that        thing of a pla.gue on both our Houses, and",both
lot is an even more difficult one than it is  it is our responsibility to remove that by,both
for members. I think the enormous bur-        raising the standard of our performance.,both
den that falls upon the families of mem-,firstColumnOnly
bers of this place is truly not sufficiently    I note that you claim that there was no,both
often and well recognised.                    political manipulation of the number of,both
"sitting days, but I also note that you had",both
"In closing, I would like most sincerely     some trouble saying that with a straight",both
"to extend to members in all parts of this     face. I take it on face value, that you were",both
place my personal wishes for a joyous         very genuine in what you said. If you are,both
"Christnias with their loved ones and dear     genuine, I look forward to your response",both
ones and the hopes for a happy new year.      to our request to televise the proceedings,both
I also hope that each one of you will take    of this House. 'That would be the best test,both
to your families my best wishes and thanks    that we can offer the people of Australia,both
as to the standards of our performance. I,both
Special Adjournment  21 December 1990 REPRESENTATIVES 4965,pageBreak
,lineBreak
think that would reduce the bad parlia- the press gallery also have a role to play,both
mentary behaviour and the colourful lan- in terms of raising parliamentary stand-,both
guage of certain members of this House. ards. We are about educating them that,both
It will also expose the lunacy of practices Parliament is not just a personality clash;,both
"such as the guillotine and the damage that -it is as much, indeed more importantly, a",both
that does to the legislative process. I urge clash of ideas. It really is not a blood,both
"you, Prime Minister, in your new spirit sport and I hope that in the course of the",both
of support for parliamentary standards to next couple of years we can bring them,both
take our offer of televising the proceed- around to our point of view.,both
ings of this House when we return in,firstColumnOnly
1991.                                           I extend my best wishes to those serv-,both
icemen who returned this morning from,both
I join the Prime Minister in thanking the Persian Gulf. The Prime Minister and,both
"the Speaker who, from our point of view, I went out on the ships and welcomed",both
"is a pillar of objectivity-in the spirit of them back, and there was a tremendous",both
objective standards. To all the parliamen- spirit of support when we arrived at the,both
tary officers and the people that make this dock. I was very pleased to see that sup-,both
"place work, of course, to the Clerk, Alan port. We congratulate them and tell them",both
"Browning, and his Deputy, Lyn Barlin, how proud we are of the contribution that",both
our sincere thanks for the role you have they have made on our behalf. We also,both
"played and best wishes for the season.        think, of course, of those servicemen who",both
will not be here for Christmas but who,both
To my colleagues who run this place-        will be in the Gulf on our behalf. We,both
