text,first_column,second_column,line_type,ordering
the SPC agreement was that restraint         clearly that is not a realistic prospect given,the SPC agreement was that restraint,clearly that is not a realistic prospect given,both,3844
would save jobs now and bring a share of     the increasing dynamic processes of mod-,would save jobs now and bring a share of,the increasing dynamic processes of mod-,both,3845
future profit. The management and work-      ern economies.                                                 -,future profit. The management and work-,ern economies.,both,3846
Rapid change is inherent in today's             The Bill will force workers to join,Rapid change is inherent in today's,The Bill will force workers to join,both,3850
"economies and, in order to survive, the        unions because of legislation and not be-","economies and, in order to survive, the",unions because of legislation and not be-,both,3851
Australian economy must be flexible            cause of the merits of union membership,Australian economy must be flexible,cause of the merits of union membership,both,3852
enough to cope with the changes if our         or because of the service or benefits that,enough to cope with the changes if our,or because of the service or benefits that,both,3853
standard of living. is to be. maintained.      they may be entitled to by belonging to a,standard of living. is to be. maintained.,they may be entitled to by belonging to a,both,3854
With the ACTU and the Federal Govern-          trade union. It seems this compulsion is,With the ACTU and the Federal Govern-,trade union. It seems this compulsion is,both,3855
merit supporting the central wage-fixing       necessitated by the fact that the negative,merit supporting the central wage-fixing,necessitated by the fact that the negative,both,3856
"system, the scope for wage signals to ini-     aspects of trade unionism these days are","system, the scope for wage signals to ini-",aspects of trade unionism these days are,both,3857
tiate labour to move to productive areas       deterring people from joining unions. This,tiate labour to move to productive areas,deterring people from joining unions. This,both,3858
"of the economy is limited. As a result,        Bill will enhance the negative aspects of","of the economy is limited. As a result,",Bill will enhance the negative aspects of,both,3859
"productivity growth ih the Australian          unionism, which include concentration",productivity growth ih the Australian,"unionism, which include concentration",both,3860
"economy has occurred at a much slower          and centralisation of power to the few,",economy has occurred at a much slower,"and centralisation of power to the few,",both,3861
rate in the 1980s than in previous dec-        the violation of the rights of individuals,rate in the 1980s than in previous dec-,the violation of the rights of individuals,both,3862
ades. Yet the very institution that was put    and the reinforcement of undemocratic,ades. Yet the very institution that was put,and the reinforcement of undemocratic,both,3863
in place to protect the needs of the work-     procedures. The Government has called,in place to protect the needs of the work-,procedures. The Government has called,both,3864
ers is now a threat to workers' constitu-      for an alteration to the secret ballot. A,ers is now a threat to workers' constitu-,for an alteration to the secret ballot. A,both,3865
tional rights. Clause 11 of the Bill has       Liberal-National Party Government initi-,tional rights. Clause 11 of the Bill has,Liberal-National Party Government initi-,both,3866
serious implications for .workers who          ated the secret postal ballot and as such,serious implications for .workers who,ated the secret postal ballot and as such,both,3867
choose to cease to be union members.           it is a true democratic institution within,choose to cease to be union members.,it is a true democratic institution within,both,3868
The provisions of this Bill would imply        the industrial work force.,The provisions of this Bill would imply,the industrial work force.,both,3869
worker loses the right to keep a job. This       The Government has been unable to,worker loses the right to keep a job. This,The Government has been unable to,both,3871
decision is one that should be based solely    instigate union amalgamation under this,decision is one that should be based solely,instigate union amalgamation under this,both,3872
"on ability and should not depend on            system and, by seeking alterations to this",on ability and should not depend on,"system and, by seeking alterations to this",both,3873
"membership of a union.                         procedure, is again undermining the de-",membership of a union.,"procedure, is again undermining the de-",both,3874
mocratisation of the union movement. In,mocratisation of the union movement. In,NA,both,3875
The Bill proposes that between March         1989 Senator Button agreed that the more,The Bill proposes that between March,1989 Senator Button agreed that the more,both,3876
1992 and February 1993 organisations           flexibility that could be introduced into,1992 and February 1993 organisations,flexibility that could be introduced into,both,3877
"with a membership of less than 1,000 will      the wages system and the more industry","with a membership of less than 1,000 will",the wages system and the more industry,both,3878
be compelled to justify their' continued       and enterprise level negotiation on wages,be compelled to justify their' continued,and enterprise level negotiation on wages,both,3879
"existence. From March 1994 to February         that could be held, the better the system",existence. From March 1994 to February,"that could be held, the better the system",both,3880
1995 organisations of employees with           would be. Surely union amalgamation is,1995 organisations of employees with,would be. Surely union amalgamation is,both,3881
"fewer than 10,000 members will be 'forced      not consistent with this objective. How","fewer than 10,000 members will be 'forced",not consistent with this objective. How,both,3882
to justify their continued existence. These    can the Government move towards bigger,to justify their continued existence. These,can the Government move towards bigger,both,3883
"actions are supposedly in the public inter-    unions with a membership of 10,000 and",actions are supposedly in the public inter-,"unions with a membership of 10,000 and",both,3884
est.                                           still cater for decentralised bargaining on,est.,still cater for decentralised bargaining on,both,3885
enterprise agreements. The strengthening,enterprise agreements. The strengthening,NA,both,3886
"This Bill will, in effect, take away the     of bureaucratic forces in Australian indus-","This Bill will, in effect, take away the",of bureaucratic forces in Australian indus-,both,3887
right of a worker to choose which organi-      trial relations will retard the development,right of a worker to choose which organi-,trial relations will retard the development,both,3888
sation he or she will belong to and decide     of enterprise-based and productive ar-,sation he or she will belong to and decide,of enterprise-based and productive ar-,both,3889
"on how, when and where he or she should        rangements. Amalgamation should not be","on how, when and where he or she should",rangements. Amalgamation should not be,both,3890
"work. This is a violation of civil liberty,    confused with efficiency or better indus-","work. This is a violation of civil liberty,",confused with efficiency or better indus-,both,3891
"and as a result of this Bill Australians will  trial relations, but is simply an avenue to",and as a result of this Bill Australians will,"trial relations, but is simply an avenue to",both,3892
lose the right to democracy in the work-       greater concentration of power within the,lose the right to democracy in the work-,greater concentration of power within the,both,3893
place because they will not be allowed to      unions.,place because they will not be allowed to,unions.,both,3894
are more likely to represent specific inter-     The statistics show that between 1976,are more likely to represent specific inter-,The statistics show that between 1976,both,3896
ests of the community and are necessary        and 1988 trade union membership of,ests of the community and are necessary,and 1988 trade union membership of,both,3897
to ensure that proper representation is        Australian employees fell from 51 per cent,to ensure that proper representation is,Australian employees fell from 51 per cent,both,3898
"provided, for workers in the workplace of      to 42 per cent. Unionisation fell from 39","provided, for workers in the workplace of",to 42 per cent. Unionisation fell from 39,both,3899
small companies and industries. This ob-       per cent to 32 per cent in the private,small companies and industries. This ob-,per cent to 32 per cent in the private,both,3900
"viously discourages the formulation of         sector between 1982 and 1988, and from",viously discourages the formulation of,"sector between 1982 and 1988, and from",both,3901
"small enterprise-based unions,unions           73 per cent to 68 per cent in the public","small enterprise-based unions,unions",73 per cent to 68 per cent in the public,both,3902
which can most effectively negotiate with      sector. Only 32 per cent of all private,which can most effectively negotiate with,sector. Only 32 per cent of all private,both,3903
their employer for. better pay and condi-      sector employees currently belong to a,their employer for. better pay and condi-,sector employees currently belong to a,both,3904
"tions in return for greater productivity.      union, and the remaining 68 per cent are",tions in return for greater productivity.,"union, and the remaining 68 per cent are",both,3905
able to negotiate with their employers          Employers and employees should be free,able to negotiate with their employers,Employers and employees should be free,both,3908
without the need for outside interference.    to make their own agreements on employ-,without the need for outside interference.,to make their own agreements on employ-,both,3909
In the nearly half million new private        ment conditions and wages. The net result,In the nearly half million new private,ment conditions and wages. The net result,both,3910
sector jobs created between 1986 and          of amalgamation will increase the poten-,sector jobs created between 1986 and,of amalgamation will increase the poten-,both,3911
"1988, unions recruited only 7 per cent of     tial for unions organised largely on polit-","1988, unions recruited only 7 per cent of",tial for unions organised largely on polit-,both,3912
the new employees. Nearly 90 per cent of      ical lines and the potential for large scale,the new employees. Nearly 90 per cent of,ical lines and the potential for large scale,both,3913
new jobs are being created in private sec-    disputes based on political rather than,new jobs are being created in private sec-,disputes based on political rather than,both,3914
"tor employment areas, the rate of unioni-     industrial objectives. The proposition that","tor employment areas, the rate of unioni-",industrial objectives. The proposition that,both,3915
sation in these areas being less than 26      unions in order to survive have to be big,sation in these areas being less than 26,unions in order to survive have to be big,both,3916
"per cent.                                     is a myth. Unions in Britain, for example,",per cent.,"is a myth. Unions in Britain, for example,",both,3917
are' losing members as a result of' a com-,are' losing members as a result of' a com-,NA,both,3918
"The proposed amalgamation of unions        bination of public policy, the economic",The proposed amalgamation of unions,"bination of public policy, the economic",both,3919
is a desperate measure to restore union       climate and the outdated philosophies of,is a desperate measure to restore union,climate and the outdated philosophies of,both,3920
based power. The force to implement this      union leaders. Their demise cannot be,based power. The force to implement this,union leaders. Their demise cannot be,both,3921
ratification is not coming from the work-     correlated to their size and number.,ratification is not coming from the work-,correlated to their size and number.,both,3922
cials who are supposedly acting on their      Amalgamations would. extend across the,cials who are supposedly acting on their,Amalgamations would. extend across the,both,3924
behalf. We have a situation where the         broad spectrum of Australian industry and,behalf. We have a situation where the,broad spectrum of Australian industry and,both,3925
movement created on behalf of the work-       would facilitate greater industry turmoil,movement created on behalf of the work-,would facilitate greater industry turmoil,both,3926
ers is now only interested in self-preser-    than exists at present. With 20 mega-,ers is now only interested in self-preser-,than exists at present. With 20 mega-,both,3927
vation and self-perpetuation and has lost     unions covering all forms of industry in,vation and self-perpetuation and has lost,unions covering all forms of industry in,both,3928
"sight of its original objectives. Why should  Australia, the ACTU would have greater",sight of its original objectives. Why should,"Australia, the ACTU would have greater",both,3929
there be a need for amalgamation legisla-     power than any other labour movement,there be a need for amalgamation legisla-,power than any other labour movement,both,3930
tion if the workers' interests are being      in the world and would have power to,tion if the workers' interests are being,in the world and would have power to,both,3931
truly represented now? There is nothing       cripple governments of either political,truly represented now? There is nothing,cripple governments of either political,both,3932
to stop union amalgamation occurring at       complexion.        .,to stop union amalgamation occurring at,complexion.,both,3933
present. A mega-union is-more likely to                    .                       .,present. A mega-union is-more likely to,.,both,3934
"experience irresponsible conduct andmis.:.    In Japan, where. enterprise based unions",experience irresponsible conduct andmis.:.,"In Japan, where. enterprise based unions",both,3935
"management, and it is easier for this to      are many, there is no sign of union de-","management, and it is easier for this to","are many, there is no sign of union de-",both,3936
go unnoticed in such a large organisation.    cline. The biggest unions. in the world are,go unnoticed in such a large organisation.,cline. The biggest unions. in the world are,both,3937
"The average member has far less contact       in the Soviet Union. However, they can-",The average member has far less contact,"in the Soviet Union. However, they can-",both,3938
with office bearers and less efficient rep-   not be used as an example for amalgam-,with office bearers and less efficient rep-,not be used as an example for amalgam-,both,3939
resentationby the union on his or her         ation because the coercive nature of their,resentationby the union on his or her,ation because the coercive nature of their,both,3940
behalf in the workplace. The factor of size   membership and the failure of Soviet cen-,behalf in the workplace. The factor of size,membership and the failure of Soviet cen-,both,3941
"and accountability would cause a mega-        tral planning economic. policy. Sweden,",and accountability would cause a mega-,"tral planning economic. policy. Sweden,",both,3942
union to neglect its real duties to its mem-  long held by the unions as an example for,union to neglect its real duties to its mem-,long held by the unions as an example for,both,3943
"bers in preference to spending time and       Australia to follow, has 25 industry-type",bers in preference to spending time and,"Australia to follow, has 25 industry-type",both,3944
"money for fighting internal factional and     unions. However, Sweden's industrial",money for fighting internal factional and,"unions. However, Sweden's industrial",both,3945
political frictions.                          production is down to minus 3.3 per cent,political frictions.,production is down to minus 3.3 per cent,both,3946
and its inflation rate of 10.2 per cent tops,and its inflation rate of 10.2 per cent tops,NA,both,3947
Senator Harradine in the Senate said       that of the 13 developed countries.,Senator Harradine in the Senate said,that of the 13 developed countries.,both,3948
"workers, or 18.6 per cent of the total        Australia can learn from these countries","workers, or 18.6 per cent of the total",Australia can learn from these countries,both,3950
"membership, out of their unions and into      without having to, experience failure for","membership, out of their unions and into","without having to, experience failure for",both,3951
"another union-a larger union whiCh will       itself. It is evidentthat unions, to survive",another union-a larger union whiCh will,"itself. It is evidentthat unions, to survive",both,3952
"almost certainly understand the needs of      and act in the interests of society, do not",almost certainly understand the needs of,"and act in the interests of society, do not",both,3953
those new-members less than the smaller       have to be big and. in fact oper~te more,those new-members less than the smaller,have to be big and. in fact oper~te more,both,3954
enterprise based unions did. This action      effectively and efficiently in a decentral-,enterprise based unions did. This action,effectively and efficiently in a decentral-,both,3955
disregards the rights of workers .and is a    ised environment.     .,disregards the rights of workers .and is a,ised environment.,both,3956
No: 87 of the International Labour Or-          This Bill supports the emergence of,No: 87 of the International Labour Or-,This Bill supports the emergence of,both,3958
"ganisation. The Bill abuses workers' rights   more'rigidities in the economy and, there-",ganisation. The Bill abuses workers' rights,"more'rigidities in the economy and, there-",both,3959
"to freedom of association under this con-     fore, reduces the flexibility that would re-",to freedom of association under this con-,"fore, reduces the flexibility that would re-",both,3960
. vention. To force union members out of       sult from smaller enterprise based unions,. vention. To force union members out of,sult from smaller enterprise based unions,both,3961
their unions into other unions is a denial    in the work force. Fundamental reform of,their unions into other unions is a denial,in the work force. Fundamental reform of,both,3962
of workers' rights.                           the industrial relations and wage fixation,of workers' rights.,the industrial relations and wage fixation,both,3963
system would not be facilitated under this,system would not be facilitated under this,NA,both,3964
"regime. It is on this basis, and in view of   in Victoria one cannot even get promo-","regime. It is on this basis, and in view of",in Victoria one cannot even get promo-,both,3967
the serious economic situation of this        tion unless one has a union ticket. It is,the serious economic situation of this,tion unless one has a union ticket. It is,both,3968
"country, that I strongly support the Bill's   made very clear that unless one has a","country, that I strongly support the Bill's",made very clear that unless one has a,both,3969
"rejection, and I appeal to the Government     ticket one's promotional chances are less-","rejection, and I appeal to the Government",ticket one's promotional chances are less-,both,3970
"to do likewise.                               ened. Of course, there is considerable in-",to do likewise.,"ened. Of course, there is considerable in-",both,3971
fluence by this Government and other,fluence by this Government and other,NA,both,3972
Mr McARTHUR (Corangamite)                  Labor governments around Australia to,Mr McARTHUR (Corangamite),Labor governments around Australia to,both,3973
(1.55)-The watershed for Australian           make sure that public sector utilities have,(1.55)-The watershed for Australian,make sure that public sector utilities have,both,3974
"trade unionism could well be 1990 as a        full union membership. Of course, they",trade unionism could well be 1990 as a,"full union membership. Of course, they",both,3975
result of the Industrial Relations Amend-     have a compliant work force which will,result of the Industrial Relations Amend-,have a compliant work force which will,both,3976
ment Bill being enacted in this Parliament    do their bidding in maintaining this com-,ment Bill being enacted in this Parliament,do their bidding in maintaining this com-,both,3977
"in December of this year. In 1991, 100        paratively high union membership.","in December of this year. In 1991, 100",paratively high union membership.,both,3978
"Labor Party will be celebrated. The Min-         In the private sector, as honourable",Labor Party will be celebrated. The Min-,"In the private sector, as honourable",both,3980
ister for Transport and Communications        members on this side of the House have,ister for Transport and Communications,members on this side of the House have,both,3981
"(Mr Beazley) will issue a stamp on this       said, about 31 per cent of the work force",(Mr Beazley) will issue a stamp on this,"said, about 31 per cent of the work force",both,3982
occasion to mark that particular event. A     are now in unions. Small companies are,occasion to mark that particular event. A,are now in unions. Small companies are,both,3983
Minister drew that to the attention of the    not interested in having union members,Minister drew that to the attention of the,not interested in having union members,both,3984
House yesterday. I suggest that in a few      on their sites and people in small shops,House yesterday. I suggest that in a few,on their sites and people in small shops,both,3985
years time we may be issuing the Bill         are not keen on joining unions because,years time we may be issuing the Bill,are not keen on joining unions because,both,3986
Kelty' memorial stamp to mark the de-         they are getting a good deal from the,Kelty' memorial stamp to mark the de-,they are getting a good deal from the,both,3987
mise of the Australian trade union move-      management. If we look at the figures in,mise of the Australian trade union move-,management. If we look at the figures in,both,3988
"ment. This last gasp for union power is       the finance and retail sectors, we see that",ment. This last gasp for union power is,"the finance and retail sectors, we see that",both,3989
"taking place today in this Parliament, as     there are hardly any union activities in","taking place today in this Parliament, as",there are hardly any union activities in,both,3990
the Australian Council of Trade Unions        these arenas. So as management im-,the Australian Council of Trade Unions,these arenas. So as management im-,both,3991
"(ACTU) proposes to amalgamate the             proves, as we see it improving around",(ACTU) proposes to amalgamate the,"proves, as we see it improving around",both,3992
"unions in bigger groups to save the trade     Australia, the need for unions becomes",unions in bigger groups to save the trade,"Australia, the need for unions becomes",both,3993
"union movement. In effect, this Bill will     less and less.","union movement. In effect, this Bill will",less and less.,both,3994
because of the restraint to create smaller      I was in Geelong last week looking at,because of the restraint to create smaller,I was in Geelong last week looking at,both,3996
groups.                                       some of the smaller manufacturing oper-,groups.,some of the smaller manufacturing oper-,both,3997
ations which are suffering under the so-,ations which are suffering under the so-,NA,both,3998
As honourable members on this side of       called recession that we needed to have.,As honourable members on this side of,called recession that we needed to have.,both,3999
the House have said and honourable            The Ford Motor Company is in some,the House have said and honourable,The Ford Motor Company is in some,both,4000
members on that side of the House have        difficulty because of its sales and restruc-,members on that side of the House have,difficulty because of its sales and restruc-,both,4001
"agreed, trade union membership is in de-      turing program. I visited three smaller","agreed, trade union membership is in de-",turing program. I visited three smaller,both,4002
"cline. The figures, which are quite stagger-  companies that supply the Ford Motor","cline. The figures, which are quite stagger-",companies that supply the Ford Motor,both,4003
"ing, show that in 1983 when the Hawke         Company with component parts. The in-","ing, show that in 1983 when the Hawke",Company with component parts. The in-,both,4004
Government was elected-and the Prime          teresting thing to emerge from that visit,Government was elected-and the Prime,teresting thing to emerge from that visit,both,4005
Minister (Mr Hawke) is an ex-President        was the concern by these companies to,Minister (Mr Hawke) is an ex-President,was the concern by these companies to,both,4006
of the ACTU-49 per cent of the work           provide quality products that meet world,of the ACTU-49 per cent of the work,provide quality products that meet world,both,4007
"force were in trade unions. By 1990, 40       standards. More importantly, the work","force were in trade unions. By 1990, 40","standards. More importantly, the work",both,4008
per cent were unionised-a remarkable          force operating in these smaller compa-,per cent were unionised-a remarkable,force operating in these smaller compa-,both,4009
decline of nearly 9.5 per cent.               nies was monitoring its own quality,decline of nearly 9.5 per cent.,nies was monitoring its own quality,both,4010
standards-a far cry from only five to 10,standards-a far cry from only five to 10,NA,both,4011
The fundamental problems of main-           years ago. There was an awareness by,The fundamental problems of main-,years ago. There was an awareness by,both,4012
"taining membership are apparent, and          both the management and the work force","taining membership are apparent, and",both the management and the work force,both,4013
honourable members opposite have made         of the importance of export markets and,honourable members opposite have made,of the importance of export markets and,both,4014
that clear and understand the problem.        the companies' need to maintain an ex-,that clear and understand the problem.,the companies' need to maintain an ex-,both,4015
We now have the proposition why any           port perspective so that the companies,We now have the proposition why any,port perspective so that the companies,both,4016
individual would join a trade union of        can remain profitable.,individual would join a trade union of,can remain profitable.,both,4017
heard that in the public sector 62 per cent     The other interesting thing amongst,heard that in the public sector 62 per cent,The other interesting thing amongst,both,4019
of the work force is unionised. We have       these smaller operations was the concern,of the work force is unionised. We have,these smaller operations was the concern,both,4020
the situation where job promotion de-         of management and shop stewards for,the situation where job promotion de-,of management and shop stewards for,both,4021
pends upon members in the public sector       workers' conditions. There are problems,pends upon members in the public sector,workers' conditions. There are problems,both,4022
"having a union ticket. If one is a teacher    of work stations, repetition strain injury",having a union ticket. If one is a teacher,"of work stations, repetition strain injury",both,4023
and changing workers around the various       pening. There were 65 institutions doing,and changing workers around the various,pening. There were 65 institutions doing,both,4026
"tasks, and an awareness by both the unions    a good job, providing good educational","tasks, and an awareness by both the unions","a good job, providing good educational",both,4027
"and the management that everyone will         services to their students, but the Minister",and the management that everyone will,"services to their students, but the Minister",both,4028
"be better off if there is quality perform-    for Employment, Education and Training",be better off if there is quality perform-,"for Employment, Education and Training",both,4029
ance and the workers are happy in the         (Mr Dawkins) said that we must have,ance and the workers are happy in the,(Mr Dawkins) said that we must have,both,4030
job.                                          about 35 institutions. He wants to consol-,job.,about 35 institutions. He wants to consol-,both,4031
"idate, ceptralise and make them bigger,","idate, ceptralise and make them bigger,",NA,both,4032
In the Geelong era there was great con-    with no rational debate as to why there,In the Geelong era there was great con-,with no rational debate as to why there,both,4033
cern; workers wished to keep their jobs.      would be any greater efficiencies in terms,cern; workers wished to keep their jobs.,would be any greater efficiencies in terms,both,4034
In this recession which has been brought      of the delivery of educational s.ervices by,In this recession which has been brought,of the delivery of educational s.ervices by,both,4035
about by the policies of the present Gov-     having these 35 big institutions on the,about by the policies of the present Gov-,having these 35 big institutions on the,both,4036
"ernment, workers are very concerned-as        Australian education scene. This has been","ernment, workers are very concerned-as",Australian education scene. This has been,both,4037
"they now are at SPC Ltd and' other places     brought about, of course, by pressure on",they now are at SPC Ltd and' other places,"brought about, of course, by pressure on",both,4038
around Australia-to keep their jobs and       capital and recurrent funding. The Gov-,around Australia-to keep their jobs and,capital and recurrent funding. The Gov-,both,4039
"improve their performance, because they       ernment has said, 'Unless you amalga-","improve their performance, because they","ernment has said, 'Unless you amalga-",both,4040
"know that it is pretty tough out there.       mate, associate and get bigger, we will cut",know that it is pretty tough out there.,"mate, associate and get bigger, we will cut",both,4041
They know that they have to change their      back your funds'. It now has control of,They know that they have to change their,back your funds'. It now has control of,both,4042
"work performance, produce a quality ar-       the funding and the curriculum, so that","work performance, produce a quality ar-","the funding and the curriculum, so that",both,4043
ticle and change their work practices to      in Canberra we again have these central-,ticle and change their work practices to,in Canberra we again have these central-,both,4044
"meet the challenges of the next decade.       ised, controlled arrangements which are",meet the challenges of the next decade.,"ised, controlled arrangements which are",both,4045
very much the thrust of the current Bill,very much the thrust of the current Bill,NA,both,4046
Management has- certainly made a big       before the House.,Management has- certainly made a big,before the House.,both,4047
problems in the work force. As one senior     There was a proposition by the Victo-,problems in the work force. As one senior,There was a proposition by the Victo-,both,4049
"manager said to me, jf management was         rian Government to amalgamate all local","manager said to me, jf management was",rian Government to amalgamate all local,both,4050
"good, unions would not be needed on the       councils. After a very big fight, that prop-","good, unions would not be needed on the","councils. After a very big fight, that prop-",both,4051
shop floor because most of the problems       osition was turned over because local,shop floor because most of the problems,osition was turned over because local,both,4052
could be sorted out by mutual discussion.     councils did not want to amalgamate; they,could be sorted out by mutual discussion.,councils did not want to amalgamate; they,both,4053
wanted to run their own shows. If they,wanted to run their own shows. If they,NA,both,4054
We now have the classic example of the     see the advantages of making local amal-,We now have the classic example of the,see the advantages of making local amal-,both,4055
"pre~ent Government's attitude towards         gamations and do so voluntarily, we on",pre~ent Government's attitude towards,"gamations and do so voluntarily, we on",both,4056
"centralising power in Canberra or at some     this side are happy about that, just as we",centralising power in Canberra or at some,"this side are happy about that, just as we",both,4057
central point. This legislation clearly cen-  are about trade unions making their own,central point. This legislation clearly cen-,are about trade unions making their own,both,4058
"tralises trade union power, reducing 300      arrangements among themselves. We are","tralises trade union power, reducing 300",arrangements among themselves. We are,both,4059
unions to 20 unions. There is coercive        completely opposed to this coercive prop-,unions to 20 unions. There is coercive,completely opposed to this coercive prop-,both,4060
pressure by legislation and by the Govern-    osition that is before the Parliament where,pressure by legislation and by the Govern-,osition that is before the Parliament where,both,4061
ment on the union movement-its                unions and union members are being,ment on the union movement-its,unions and union members are being,both,4062
friends-to push it into so-called 20 mega-    forced to amalgamate under very strin-,friends-to push it into so-called 20 mega-,forced to amalgamate under very strin-,both,4063
"unions from the 300-odd smaller, group-       gent guidelines.  '","unions from the 300-odd smaller, group-",gent guidelines.,both,4064
and some of these mega-unions can put           The main purpose of the Bill is to re-,and some of these mega-unions can put,The main purpose of the Bill is to re-,both,4066
"considerable pressure on big companies        duce the number of trade unions, as I",considerable pressure on big companies,"duce the number of trade unions, as I",both,4067
"and public sector utilities, as we have       have said, in the Australian workplace by","and public sector utilities, as we have","have said, in the Australian workplace by",both,4068
found in the various strikes around the       a process of amalgamation between,found in the various strikes around the,a process of amalgamation between,both,4069
States. It would only take a phone call       unions. This wille be achieved by raising,States. It would only take a phone call,unions. This wille be achieved by raising,both,4070
from Mr Kelty to the Prime Minister of        the membership threshold for registration,from Mr Kelty to the Prime Minister of,the membership threshold for registration,both,4071
"the day indicating the trade unions'posi-     of a trade union from 1,000 to 20,000.",the day indicating the trade unions'posi-,"of a trade union from 1,000 to 20,000.",both,4072
"tion. It is much easier to organise indus-    That has at least been reduced to 10,000",tion. It is much easier to organise indus-,"That has at least been reduced to 10,000",both,4073
trial disruption if one has only 20 mega-     due to the Senate amendments. I was,trial disruption if one has only 20 mega-,due to the Senate amendments. I was,both,4074
unions to confront government or the big-     pleased that the honourable member for,unions to confront government or the big-,pleased that the honourable member for,both,4075
ger companies.                                Reid (Mr Ferguson) conceded the point,ger companies.,Reid (Mr Ferguson) conceded the point,both,4076
"that 10,000 was a more manageable num-","that 10,000 was a more manageable num-",NA,both,4077
"We see a similar situation in the ter-     ber than 20,000, making the amalgama-",We see a similar situation in the ter-,"ber than 20,000, making the amalgama-",both,4078
"tiary education sector. My colleague the      tion procedures less stringent, recognising",tiary education sector. My colleague the,"tion procedures less stringent, recognising",both,4079
honourable member for Goldstein (Dr           and enhancing the role of peak councils,honourable member for Goldstein (Dr,and enhancing the role of peak councils,both,4080
"Kemp), the shadow Minister for educa-         or federations of unions prior to amal-","Kemp), the shadow Minister for educa-",or federations of unions prior to amal-,both,4081
"gamation, and reinforcing and extending              to reduce it to 10,000, as I have men-","gamation, and reinforcing and extending","to reduce it to 10,000, as I have men-",both,4085
the preferences which the Australian In-             tioned. Unions will still be required to,the preferences which the Australian In-,tioned. Unions will still be required to,both,4086
dustrial Relations Commission may ex-                reach this figure by 1 March 1993 or face,dustrial Relations Commission may ex-,reach this figure by 1 March 1993 or face,both,4087
"tend to members of a trade union.                    deregistration-again, a very clear indi-",tend to members of a trade union.,"deregistration-again, a very clear indi-",both,4088
The Bill has its genesis in a paper pre-           that this is a coercive piece of legislation,The Bill has its genesis in a paper pre-,that this is a coercive piece of legislation,both,4090
"pared by the Secretary of the ACTU, Mr               which forces unions into a position that","pared by the Secretary of the ACTU, Mr",which forces unions into a position that,both,4091
"Bill Kelty, in May 1987 entitled Future              they might not desire.","Bill Kelty, in May 1987 entitled Future",they might not desire.,both,4092
"and adopted by the ACTU Congress in                    Even if one could sign up 10,000 to",and adopted by the ACTU Congress in,"Even if one could sign up 10,000 to",both,4094
"September 1987. The rationale for the                20,000 members it would still be impos-",September 1987. The rationale for the,"20,000 members it would still be impos-",both,4095
"report was that the trade union move-                sible to obtain registration as a union,",report was that the trade union move-,"sible to obtain registration as a union,",both,4096
ment was in decline and that steps had to            should there be a union to which mem-,ment was in decline and that steps had to,should there be a union to which mem-,both,4097
be taken to reverse the process. According           bers could conveniently belong-that,be taken to reverse the process. According,bers could conveniently belong-that,both,4098
"to the report, a reorganisation of and re-           wonderful phrase that is so often used by","to the report, a reorganisation of and re-",wonderful phrase that is so often used by,both,4099
duction in the number of unions from                 the arbitration commission and the union,duction in the number of unions from,the arbitration commission and the union,both,4100
approximately 325 to about 20 was there-             movement. This requirement has existed,approximately 325 to about 20 was there-,movement. This requirement has existed,both,4101
fore necessary for the better servicing of           since March 1989. The effect of this sta-,fore necessary for the better servicing of,since March 1989. The effect of this sta-,both,4102
members~ interests and would be-and I                tutory provision has been to keep new,members~ interests and would be-and I,tutory provision has been to keep new,both,4103
quote:                                               entrants out of the market. The require-,quote:,entrants out of the market. The require-,both,4104
". .. more conducive to the development and          10,000 to 20,000 members before apply-",. .. more conducive to the development and,"10,000 to 20,000 members before apply-",both,4106
maintenance of effective industrial relations proc-  ing for registration merely consolidates,maintenance of effective industrial relations proc-,ing for registration merely consolidates,both,4107
esses.                                               existing barriers. We have the classic sit-,esses.,existing barriers. We have the classic sit-,both,4108
Those are interesting words. What they               ing new groups within the work force. As,Those are interesting words. What they,ing new groups within the work force. As,both,4110
"really mean is that we must maintain the             I mentioned earlier, that will be the death",really mean is that we must maintain the,"I mentioned earlier, that will be the death",both,4111
power of trade union leaders in the ACTU             knell of the trade union movement in,power of trade union leaders in the ACTU,knell of the trade union movement in,both,4112
before all the. grassroots membership                future years.,before all the. grassroots membership,future years.,both,4113
gether.                                                Unions which decline to amalgamate or,gether.,Unions which decline to amalgamate or,both,4115
It should be realised that Mr Kelty's              members of the perceived benefits of,It should be realised that Mr Kelty's,members of the perceived benefits of,both,4117
"rationale for the amalgamation proposal              amalgamation, so that the figure of 10,000",rationale for the amalgamation proposal,"amalgamation, so that the figure of 10,000",both,4118
"has been challenged by several eminent               by 1 March 1993 is not reached, will have",has been challenged by several eminent,"by 1 March 1993 is not reached, will have",both,4119
"trade unionists, including two recent ad-            to convince the Commission that special","trade unionists, including two recent ad-",to convince the Commission that special,both,4120
"visers to Mr Michael Easson, Secretary of            circumstances exist which necessitate their","visers to Mr Michael Easson, Secretary of",circumstances exist which necessitate their,both,4121
the Labour Council of New South Wales.               continuation; they have to prove that they,the Labour Council of New South Wales.,continuation; they have to prove that they,both,4122
"They claimed that size was no guarantee              will stay around as a trade union, even",They claimed that size was no guarantee,"will stay around as a trade union, even",both,4123
"of organisational efficiency and that union          though they have been around for 20, 30,",of organisational efficiency and that union,"though they have been around for 20, 30,",both,4124
