original; corrected
twentysecond; twenty-second
Twentysecond; Twenty-second
twentyseven; twenty-seven
twoairline; two airline
twomore; two more
twothirds; two-thirds 
twoyears; two years
U n t i l; Until
U nder; Under
U nited; United 
U.K; UK
U.N.C.T.A.D; UNCTAD
U.N; UN
U.S.A; USA
U.S.L.R; USLR
U.S.S.R; USSR
U.S; US
Uberties; Liberties
unAustralian; un-Australian
under standing; understanding
undergroun d; underground
underparliamentary; under parliamentary
UnderSecretary; Under Secretary
understandthe; understand the
undesir able; undesirable
undoubt edly; undoubtedly
unem ployment; unemployment
Unem ployment; Unemployment
unemploy ment; unemployment
unequivical; unequivocal
unfortu nately; unfortunately
Uni versity; University
unin terrupted; uninterrupted
uninten tional; unintentional
unpredictabe; unpredictable
upona; upon a
uponnotice; upon notice
uponthe; upon the
uponthis; upon this
uponto; upon to
upto; up to
Upto; Up to
uptodate; up-to-date
usby; us by
usenow; use now
V.I.P; VIP
val idity; validity
vari ous; various
ve hicle; vehicle
ve hicles; vehicles
verv; very
verylittle; very little
verymuch; very much
verywell; very well
Vic toria; Victoria
Vic torian; Victorian
VicePresident; Vice President
viceversâ; vice versa
viewof; view of
visavis; vis-a-vis
visit ing; visiting
vOiced; voiced
votefor; vote for
W e; We
W i l l; Will
W ill; Will
w ill; will
W.A; WA
wageearner; wage earner
wageearners; wage earners
wagefixing; wage fixing
wantofconfidence; want of confidence
Wardinterjecting; Ward interjecting
Warworkers; War workers
wasa; was a
waselected; was elected
wasmade; was made
wasno; was no
wasnot; was not
wasreduced; was reduced
wasso; was so
wastepaper; waste paper
wasthat; was that
wasthe; was the
wbat; what
wc; we
WDrkers; Workers
wDrking; working
wealthproducing; wealth producing
weare; we are
Weare; We are
Weareasked; We are asked
wecan; we can
Wecan; We can
wecannot; we cannot
Wed nesday; Wednesday
wegive; we give
wehave; we have
Wehave; We have
wel fare; welfare
wellbalanced; well balanced
wellbeing; well-being
welldefined; well defined
wellestablished; well established
wellknown; well known
wellmeaning; well meaning
wellnigh; well nigh
wellorganized; well organized
welltodo; well to do
wemay; we may
wemust; we must
Wentwortb; Wentworth
wer e; were
werea; were a
weregranted; were granted
weshall; we shall
weshould; we should
Wh o; Who
Wha t; What
whatare; what are
whatI; what I
whatis; what is
whatmay; what may
whatthe; what the
Whatwould; What would
Whe n; When
wheatfarmer; wheat farmer
wheatfarmers; wheat farmers
wheatgrower; wheat grower
wheatgrowers; wheat growers
Wheatgrowers; Wheat growers
wheatgrowing; wheat growing
wheatlands; wheat lands
wheatproducing; wheat producing
whenhe; when he
whenI; when I
WhenI; When I
whenthe; when the
Whenthe; When the
whenwe; when we
whereasthe; whereas the
whereever; where ever
whereI; where I
whetherany; whether any
whetherthe; whether the
which ave; which have
which J believe; which I believe
whIch; which
whichare; which are
whichhas; which has
whichhe; which he
whichI; which I
whichis; which is
whichit; which it
whichpeasants; which peasants
whichthe; which the
whichthere; which there
whichwe; which we
whichwould; which would
whieh; which
WhileI; While I
whitelabour; white labour
Whitiam; Whitlam
WHITLAM; Whitlam
who.are; who are
whoare; who are
whohashadexperienceoftheworkofthe; who has had experience of the work of the
whohave; who have
whomhe; whom he
whomI; whom I
whomthe; whom the
whosename; whose name
whowere; who were
whowould; who would
whv; why
Whv; Why
Wil l; Will
wIll; will
willbe; will be
willgo; will go
Willhe; Will he
willhe; will he
WilliamIrvine; William Irvine
WILLIAMLYNE; WILLIAM LYNE
WILLIAMMcMILLAN; WILLIAM McMILLAN
WILLIAMMCMILLAN; WILLIAM MCMILLAN
willthe; will the
willynilly; willy nilly
win dow; window
win ning; winning
wirenetting; wire netting
wishto; wish to
withby; with by
witheach; with each
withhisservices; with his services
withinmy; within my
withinthe; within the
withmy; with my
withsuch; with such
withthe; with the
withthis; with this
wliich; which
woolgrower; wool grower
Woolgrowers; Wool growers
woolgrowers; wool growers
woolproducing; wool producing
wordsand; words and
wordsin; words in
workingclass; working class
workingmen's; working men's
wors.; worse
worth while; worthwhile
woul'd; would
would.be; would be
wouldbe; would be
wouldfind; would find
wouldhave; would have
Wouldit; Would it
wouldnot; would not
WQrks; Works
Y e s; Yes
YassCanberra; Yass Canberra
YearBook; Year Book
yearsshown; years shown
yes terday; yesterday
yetMr; yet Mr
yourletterdated; your letter dated
